Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7-20-2016  4:47PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  top.ngd
output file: top_pad.csv
Part type:   xc2c64a
Speed grade: -7
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,KPR,,I/O/GCK2,,,1,,,,,,,
P2,KPR,,I/O,,,1,,,,,,,
P3,KPR,,I/O,,,1,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,KPR,,I/O,,,1,,,,,,,
P6,KPR,,I/O,,,1,,,,,,,
P7,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P8,KPR,,I/O,,,1,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,Seek,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P13,LE,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P14,MISO,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P15,,VCC,VCC,,,,,,,,,,
P16,SCLK,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P17,GND,,GND,,,,,,,,,,
P18,Q1A,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P19,Q1B,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P20,Q1Z,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P21,Q2A,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P22,Q2B,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P23,Q2Z,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P27,Q3A,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P28,Q3B,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P29,Q3Z,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P30,KPR,,I/O/GSR,,,2,,,,,,,
P31,KPR,,I/O/GTS2,,,2,,,,,,,
P32,KPR,,I/O/GTS3,,,2,,,,,,,
P33,KPR,,I/O/GTS0,,,2,,,,,,,
P34,KPR,,I/O/GTS1,,,2,,,,,,,
P35,,VCCAUX,VAUX,,,,,,,,,,
P36,Clk,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P37,KPR,,I/O,,,2,,,,,,,
P38,KPR,,I/O,,,2,,,,,,,
P39,KPR,,I/O,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O/GCK0,,,1,,,,,,,
P44,KPR,,I/O/GCK1,,,1,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


